Unnamed: 0,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,Solteiro,2ª fase - Entrada geral,5,Animação e Design Multimédia,Diurno,Ensino médio,122.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Outro - 11º Ano de Escolaridade,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Trabalhadores Não Qualificados,127.3,sim,0,não,sim,Masculino,não,20,não,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,Solteiro,Estudante internacional (bacharelado),1,Turismo,Diurno,Ensino médio,160.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Superior - Bacharelado,Técnicos e Profissões de Nível Intermediário,Técnicos e Profissões de Nível Intermediário,142.5,sim,0,não,não,Masculino,não,19,não,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
2,Solteiro,1ª fase - Entrada geral,5,Design de Comunicação,Diurno,Ensino médio,122.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,124.8,sim,0,não,não,Masculino,não,19,não,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
3,Solteiro,2ª fase - Entrada geral,2,Jornalismo e Comunicação,Diurno,Ensino médio,122.0,Portugal,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Técnicos e Profissões de Nível Intermediário,119.6,sim,0,não,sim,Feminino,não,20,não,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
4,Casado,Maiores de 23 anos,1,Serviço Social (noturno),Noturno,Ensino médio,100.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,141.5,não,0,não,sim,Feminino,não,45,não,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
5,Casado,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino básico 3.º ciclo (9.º/10.º/11.º ano) ou equivalente,133.1,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Trabalhadores Não Qualificados,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",114.8,não,0,sim,sim,Masculino,não,50,não,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
6,Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,142.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",Profissões das Forças Armadas,128.4,sim,0,não,sim,Feminino,sim,18,não,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
7,Solteiro,3ª fase - Entrada geral,4,Turismo,Diurno,Ensino médio,119.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,113.1,sim,0,não,não,Masculino,não,22,não,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
8,Solteiro,1ª fase - Entrada geral,3,Serviço Social,Diurno,Ensino médio,137.0,Romênia,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,129.3,não,0,não,sim,Feminino,sim,21,sim,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
9,Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,138.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",123.0,sim,0,sim,não,Feminino,não,18,não,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
