Estado civil,Modo de inscrição,Ordem de prioridade de escolha,Curso,Turno,Qualificação anterior,Qualificação anterior (Nota),Nacionalidade,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Nota de admissão,Deslocado,Necessidade de educação especial,Devedor,Pagamento em dia,Gênero,Bolsista,Idade na inscrição,Internacional,Unidades curriculares 1º semestre (creditadas),Unidades curriculares 1º semestre (inscritos),Unidades curriculares 1º semestre (avaliações),Unidades curriculares 1º semestre (aprovado),Unidades curriculares 1º semestre (nota),Unidades curriculares 1º semestre (sem avaliações),Unidades curriculares 2º semestre (creditadas),Unidades curriculares 2º semestre (inscritos),Unidades curriculares 2º semestre (avaliações),Unidades curriculares 2º semestre (aprovado),Unidades curriculares 2º semestre (nota),Unidades curriculares 2º semestre (sem avaliações),taxa de desemprego,Taxa de inflação,GDP,Target
Solteiro,2ª fase - Entrada geral,5,Animação e Design Multimédia,Diurno,Ensino médio,122.0,Portugal,Ensino Básico 3º Ciclo,11º Ano de Escolaridade,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Trabalhadores Não Qualificados,127.3,sim,Não,não,sim,Masculino,não,20,não,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Desistente
Solteiro,Estudante internacional (bacharelado),1,Turismo,Diurno,Ensino médio,160.0,Portugal,Ensino Secundário,Ensino Superior - Bacharelado,Técnicos e Profissões de Nível Intermediário,Técnicos e Profissões de Nível Intermediário,142.5,sim,Não,não,não,Masculino,não,19,não,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduado
Solteiro,1ª fase - Entrada geral,5,Design de Comunicação,Diurno,Ensino médio,122.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,124.8,sim,Não,não,não,Masculino,não,19,não,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Desistente
Solteiro,2ª fase - Entrada geral,2,Jornalismo e Comunicação,Diurno,Ensino médio,122.0,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Técnicos e Profissões de Nível Intermediário,119.6,sim,Não,não,sim,Feminino,não,20,não,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduado
Casado,Maiores de 23 anos,1,Serviço Social (noturno),Noturno,Ensino médio,100.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,141.5,não,Não,não,sim,Feminino,não,45,não,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduado
Casado,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino básico 3.º ciclo (9.º/10.º/11.º ano) ou equivalente,133.1,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",114.8,não,Não,sim,sim,Masculino,não,50,não,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,142.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",Profissões das Forças Armadas,128.4,sim,Não,não,sim,Feminino,sim,18,não,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduado
Solteiro,3ª fase - Entrada geral,4,Turismo,Diurno,Ensino médio,119.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,113.1,sim,Não,não,não,Masculino,não,22,não,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Desistente
Solteiro,1ª fase - Entrada geral,3,Serviço Social,Diurno,Ensino médio,137.0,Romênia,Ensino Secundário,Ensino Secundário,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,129.3,não,Não,não,sim,Feminino,sim,21,sim,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,138.0,Portugal,Ensino Secundário,Ensino Básico 3º Ciclo,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",123.0,sim,Não,sim,não,Feminino,não,18,não,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Desistente
Solteiro,1ª fase - Entrada geral,1,Gestão de Publicidade e Marketing,Diurno,Ensino médio,139.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 3º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores Qualificados da Indústria, Construção e Artesãos",130.6,sim,Não,não,sim,Feminino,não,18,não,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,136.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,119.3,sim,Não,não,sim,Feminino,sim,18,não,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduado
Solteiro,1ª fase - Entrada geral,2,Educação básica (pedagogia),Diurno,Ensino médio,133.0,Portugal,Ensino Básico 3º Ciclo,Ensino básico 1º Ciclo,Pessoal Administrativo,Trabalhadores Não Qualificados,130.2,sim,Não,não,sim,Feminino,não,19,não,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Desistente
